Token,Item Name,Description,Category,SKU,Variation Name,Price,Option Name 1,Option Value 1,Default Unit Cost,Default Vendor Name,Default Vendor Code,Current Quantity r a u l Retail,New Quantity r a u l Retail,Stock Alert Enabled r a u l Retail,Stock Alert Count r a u l Retail,Tax - NY Sales Tax (8.875%)
33QZCQSB723I3OKG7NETOOG5,Amber Goblet,Glasswear Amber 7.5 H x 4 W,Glassware,,Regular,12.00,,,,,,294,,,,Y
UNDAKD52JZ5MYITCLGPDGGOQ,Amber Hanging Candle Holder,Glass Hanging Candle Holder Amber 3.5 H x 2.25 W,"Candle Holders, Hanging",,Regular,10.00,,,,,,2,,,,Y
C7I7X673S4OMSGZH3JL3G4AE,Amber Organic Rim Hurricane,"Large Amber Glass Hurricane 14""H x 9""W
Small Amber Glass Hurricane 9.5""H x 6""W",Hurricanes,,Large,90.00,,,,,,5,,,,Y
VZHICLLKPZCRWEIMXUBXFSOZ,Amber Organic Rim Hurricane,,Hurricanes,,Small,45.00,,,,,,0,,,,Y
KIREL2VHWU4MUWZCFTQTBJTX,Amber Organic Rim Vase,"Amber Glass Vase 15""H x 15""W",Vases,,Regular,28.00,,,,,,3,,,,Y
OGWTSNEESC5R6Z6HTPSIQR57,Amber Stemless Glass,Glassware Amber 4 H x 3.5 W,Glassware,,Regular,10.00,,,,,,242,,,,Y
MXGTB4DX7NKG5AE5XO5IRBFA,Amber Vase,Glass Vase Orange 7.75 H x 4.5 W,Vases,,Regular,37.00,,,,,,0,,,,Y
PN4RUFOT4FMQO4LOEBUDTSYK,Amber Votive,Glass Votive Orange 3.25 H x 2 W,Votives,,Regular,16.00,,,,,,57,,,,Y
HCXT22XXALXKEKGQX6I5L6GV,Amber Wine Glass,Glassware Amber/Clear 6.5 H x 4 W,Glassware,,Regular,10.00,,,,,,275,,,,Y
WTQXYRSDGAS5GR252HWJYK5P,Amphora Hurricane,"Extra Large Glass Hurricane Clear 14 H x 5 W
Large Glass Hurricane Clear 11.75 H x 4.5 W
Medium Glass Hurricane Clear 9 H x 4 W
Small Glass Hurricane Clear 9 H x 3.5 W",Hurricanes,,Extra Large,12.00,,,,Jamali Garden,,20,,,,Y
ORWJH6JRAXWRN4LR5X7QT77J,Amphora Hurricane,,Hurricanes,,Large,10.00,,,,,,,,,,Y
FX23Z27HKPKHMRK35PMY5JFH,Amphora Hurricane,,Hurricanes,,Medium,9.00,,,,,,,,,,Y
ALPHU62HS3AI2C5FARG5CMN5,Amphora Hurricane,,Hurricanes,,Small,8.00,,,,,,,,,,Y
LTT2WZYQINRRZAHWJQEY6KBN,Anemone,,Floral,,White,3.00,,,,,,9787,,,,Y
EDRCTW2T4A6UVOCYXDP7QUW2,Anemone,,Floral,,Purple,3.00,,,,,,9713,,,,Y
TIOIQQSYGV7AU7WWT3FJC6L3,Anemone,,Floral,,Pink,3.00,,,,,,9931,,,,Y
7KILKVON5LZL4RSTCLEPUV3Z,Anemone,,Floral,,Red,3.00,,,,,,9947,,,,Y
A3A6WHUMJQ3XQYZLKE4TNUQR,Anthurium,,Floral,,Green,6.00,,,,,,10000,,,,Y
F4YLSB4YC5GFITTYYXK4W5BF,Anthurium,,Floral,,White,6.00,,,,,,9996,,,,Y
SHX4C7XZ3LKO46QQKQEQNVE3,Anthurium,,Floral,,Pink,6.00,,,,,,10000,,,,Y
KGRQEYXFXOHP2BFKAOWUUA24,Anthurium,,Floral,,Orange,6.00,,,,,,10000,,,,Y
QSBFHKUT4WUVQR3FHLVS2ZVS,Anthurium,,Floral,,Red,6.00,,,,,,10000,,,,Y
MTJQWWPCA5MEWLHEKIEDK2KK,Antique Amber Chandelier,"Small Amber Glass Candle Holders 11""H 
Medium Amber Glass Candle Holders 16""H 
Large Amber Glass Candle Holders 18""H ",Candle Holders,,Small,34.00,,,,,,12,,,,Y
P33ACH7NVJCICKK4GEM6UP44,Antique Amber Chandelier,,Candle Holders,,Medium,45.00,,,,,,12,,,,Y
OICZRI3X3VQXHLUANYWLFRPP,Antique Amber Chandelier,,Candle Holders,,Large,55.00,,,,,,12,,,,Y
XXRFMJFUFUBVUV4VN2TWNBDS,Antique Amber Chandelier,,Candle Holders,,Set of 3,variable,,,135.00,,,,,,,Y
LVJI7MLIAXN6P2YDOPTTTENZ,Antique Mirror Footed Bowl,Glass Footed Vase Bronze 6.5 H x 5.5 W,"Bowls, Footed",,Regular,18.00,,,8.99,Jamali Garden,,48,,,,Y
KZ4OD6FN2CHXM4VEIER5SOXU,Antler Shelves,,Shelves,,Regular,3200.00,,,,,,2,,,,Y
72ZRJQ5B5YET5L3J3AMI7O2S,Antlia Silver Bowl,Metal Footed Bowl Silver 6.5 H x 8 W,"Bowls, Footed",,Regular,variable,,,25.00,,,,,,,Y
UZAY7TX3WEJLULHNODLVP3PJ,Aqua Goblet,Glassware Light Blue 7.75 H x 4 W,Glassware,,Regular,12.00,,,,,,5,,,,Y
ELE6ENSK7K6ZGSRRZMRTDIN3,Aqua Highball,Glassware Light Blue 5.25 H x 3 W,Glassware,,Regular,10.00,,,,,,36,,,,Y
KHNZ4JVIYKQUHRSXJRNSHQK4,Aqua Pitcher,Glassware Light Blue 9.5 H x 4.5 W x 8 L,Glassware,,Regular,24.00,,,,,,0,,,,Y
XPUJUGA2CQNXATSNLHTEJ2DP,Aqua Tumbler,Glassware Light Blue 4 H x 3 W,Glassware,,Regular,8.00,,,,,,41,,,,Y
52354F3NRDIHYP6NMN2ZKHUX,Aqua Votive,Glass Votive Light Blue 2.5 H x 2.5 W,Votives,,Regular,8.00,,,,,,7,,,,Y
NS4B4H43RNZ2ANVJQL5NCKZY,Aquamarine Cashpot,Ceramic Cashpot Blue 22.5 H x 17.5 W,Cashpots,,Regular,90.00,,,,,,1,,,,Y
EZHOA7QYHANYWDR2LSL2PAP3,Ara Silver Bowl,Metal Footed Bowl Silver 3.75 H x 3.75 W x 6.25 L,"Bowls, Footed",,Regular,12.00,,,11.00,,,13,,,,Y
PLY4RZUEDW67TSZMQTYRNE2R,Areca Palm,,Plant,,Regular,120.00,,,,,,10000,,,,Y
SIP53LUE7M6LL7ZR63HDLGLA,Astrantia,,Floral,,Purple,2.00,,,,,,9998,,,,Y
IJEI3L7PFTG5HGMFZXRT7UR2,Astrantia,,Floral,,Pink,2.00,,,,,,10000,,,,Y
XHTS7JDRIAIPUS2BHW7C2L6I,Astrantia,,Floral,,White,2.00,,,,,,10000,,,,Y
WIFWM5IEMOFAYYDNTE3F2LGW,Avery Vase Clear Glass,"8"" H x 7.5"" W",Vases,,Regular,20.00,,,,,,29,,,,Y
GKGWC5GHUCXCK6ELY3T62RCY,Baby's Breath,,Floral,,Regular,2.00,,,,,,9976,,,,Y
ET575VT5IQI46CCSVN4S45OG,Bamboo Armchair,Wicker Armchair Tan 32 H x 22 W x 22 L,Chairs,,Regular,650.00,,,,,,0,,,,Y
TEJYFU3Y3PBSN6KNOGCCTJRI,Bamboo Chair,,Chairs,,Regular,660.00,,,,,,6,,,,Y
5DF6JZAKVW2PVANY7MTUGECH,Bamboo Chair,,Chairs,,Regular,62.99,,,,,,,,,,Y
GKJB2VXHIL3J2UXDEF7KJTXO,Bamboo End Table,,Tables,,Regular,249.00,,,,,,3,,,,Y
A2YZF2BUSU7LFILQYQJTZMZX,Bamboo Sofa,Wicker Sofa Tan 33 H x 30 W x 81.5 L,Sofas,,Regular,1200.00,,,,,,1,,,,Y
CZYCX7RQL2Q6S3R7YNCRGMJN,Bamboo Table,,Tables,,Regular,1400.00,,,,,,1,,,,Y
5LS45RQLIBZIABHP4EIZQII3,Banana Leaf Tree,,Plant,,Regular,1575.00,,,,,,0,,,,Y
BHZUWI4WQJ62ABXBORUFNAHB,Banana Leaf Tree,,Plant,,Customer Order,variable,,,,,,10000,,,,Y
FPLAAODYPS6URW3M2GMQBTFT,Baroque Cashpot,Ceramic Cashpot Gold 6 H x 6 W,Cashpots,,Regular,27.00,,,,,,0,,,,Y
LRWQQJ5DLGDTLIPKDMF3KDZI,Basket Planter,"Large Woven Basket Tan 21 H x 21 W
Small Woven Basket Tan 17 H x 17 W",Cashpots,,Large,75.00,,,,,,1,,,,Y
3RAD6YYDDVJ5NTDGCRO2K6I3,Basket Planter,,Cashpots,,Small,59.00,,,,,,1,,,,Y
YGDMJLYPDUC75UMDPQPYDEZB,Batman,,Statues,,Regular,variable,,,,,,1,,,,Y
2XPUXUEKLPJ6BKYF2UZNH25O,Bec High Ribbed Pot,"Small Blue Glazed Ceramic Pot 21""H x 10""W
Medium Blue Glazed Ceramic Pot 26""H x 15""W
Large Blue Glazed Ceramic Pot 32""H x 32""W",Cashpots,,Small,205.00,,,,,,3,,,,Y
AKWQEF5J675IUX4CIDB7MBIF,Bec High Ribbed Pot,,Cashpots,,Medium,275.00,,,,,,4,,,,Y
H2PNPRO445AWLRQSNMRO4CEA,Bec High Ribbed Pot,,Cashpots,,Large,425.00,,,,,,4,,,,Y
R2NEOUOQJ4JLITBDPG6NZOUF,Bec Low Ribbed Pot,"Small Blue Glazed Ceramic Pot 12""H x 12""W
Medium Blue Glazed Ceramic Pot 14""H x 14""W 
Large Blue Glazed Ceramic Pot 20""H x 20""W",Cashpots,,Small,85.00,,,,,,5,,,,Y
KCCC7REWKD6SGKTARAWB5ASN,Bec Low Ribbed Pot,,Cashpots,,Medium,160.00,,,,,,5,,,,Y
H7N6WE4YONIIPXKIDH5FP65A,Bec Low Ribbed Pot,,Cashpots,,Large,265.00,,,,,,6,,,,Y
FMCCFL24JF4PA7U7KTAOVVKO,Bee Hammered Vase,"Metal Vase Brushed Gold 24""H x 6""W",Vases,,Regular,575.00,,,,,,2,,,,Y
BMWXZ2Y3253JNDYAQKFAGTFJ,Beige Angular Tealight,"Large Beige Edged Glass Tealight 5""H x 4""W
Small Beige Edged Glass Tealight 3.5""H x 3""W",Candle Holders,,Large,10.00,,,,,,8,,,,Y
NCD7GQQXTIB7RYBTX7BBCV3Z,Beige Angular Tealight,,Candle Holders,,Small,8.00,,,,,,11,,,,Y
7J766U7QRRA6U6USTZVXGHDO,Beige Bowl Tealight,,Candle Holders,,Large,8.00,,,,,,,,,,Y
FEUSWH7QDMJWVXLDVGF3ZCQ7,Beige Bowl Tealight,,Candle Holders,,Small,8.00,,,,,,,,,,Y
WCTJKFILZRAY3LOGKL7F4QO4,Beige Gold Notebooks,"Cold Grey Notebook A4 8.5x11 NB1156
Cold Grey Notebook A5 5x8 NB1005
Cold Grey Notebook A6 4x6 NB1206",Notebooks,,A4,45.00,,,,,,3,,,,Y
DE2X5MJXUNOSKQLAL3257BAA,Beige Gold Notebooks,,Notebooks,,A5,35.00,,,,,,2,,,,Y
LMRTKUP5IN6LXR7HHMSUJNXM,Beige Gold Notebooks,,Notebooks,,A6,26.00,,,,,,1,,,,Y
VUSZRIW5AIHQZ7GOUTR5AZLM,Beige Triangle Tealight,"Large Beige Edged Glass Tealight 5""H x 3""W
Small Beige Edged Glass Tealight 3.5""H x 2.5""W",Candle Holders,,Large,10.00,,,,,,6,,,,Y
PETMRCPQCKDKZQNLJIJNOM7A,Beige Triangle Tealight,,Candle Holders,,Small,8.00,,,,,,11,,,,Y
7WB6XZSU254XM6OLHUSNSQON,Belle Terrarium,Glass/Wood Display Clear/Umber 16 H x 11 W,Terrariums,,Regular,72.00,,,,,,2,,,,Y
TXRZP5YB2ZV7YHQ6TFOBLVB3,Bigi Cylinder Vase,"4.5"" H x 3.5"" W (Small)
6"" H x 3.5"" W (Medium)
6"" H x 5"" W (Large)",Vases,,Small,5.00,,,,,,53,,,,Y
YLIXHN2WX6YC3CVJM4STK5PS,Bigi Cylinder Vase,,Vases,,Medium,6.00,,,,,,80,,,,Y
ULZZZDRMT7UULUVCX2553A65,Bigi Cylinder Vase,,Vases,,Large,7.00,,,,,,78,,,,Y
36J4QV5IPXSBDSYG6D3UEDXT,Birch Tree Votive,Wood Votive Beige 4 H x 2.75 W,Votives,,Regular,19.00,,,,,,20,,,,Y
GTAOMJJQJLPV7YBFSJY5YMFP,Bird Wave Planter,"Large Decorative Planter 5""H x 5""W
Small Decorative Planter 4""H x 3""W",Cashpots,,Small,20.00,,,,,,4,,,,Y
VSVUZRREP33GI7TAVKVOL4K5,Bird Wave Planter,,Cashpots,,Extra Small,15.00,,,,,,6,,,,Y
AASJKRVTRSHA2ZUB2VQNFNB3,Bird Wave Vase,"Large Decorative Vase 9""H x 10""W
Small Decorative Vase 8""H x 8""W",Vases,,Large,65.00,,,,,,7,,,,Y
IOQXJM3W3WPHMZDOQOMJEQ4X,Bird Wave Vase,,Vases,,Medium,45.00,,,,,,7,,,,Y
DZAOIQ6HECUYAPKMRL27JSHL,Bistro Chair,,,,Regular,175.00,,,,,,,,,,Y
6Z662GLUBPKPXNEUCUFGTB6L,Black Cylinder Vase,"Glass Vase Black
16.5 H x 7 W",Vases,2,Regular,45.00,,,,,,-1,,,,Y
NFAECSH25MGAM22S6ZEVUILR,Black Hanging Candle Holder,Glass Hanging Candleholder Black 3.5 H x .25 W,"Candle Holders, Hanging",,Regular,10.00,,,,,,27,,,,Y
2N5OKZFWVKFA4VETRSIZ6JMD,Black Rectangular Vase,,Vases,1,Regular,45.00,,,,,,,,,,Y
BOUDBAL2FMNIOYJJJBOLFEYE,Black Round Vase,"Glass Vase Black 
4 H x 4 W",Vases,3,Regular,15.00,,,,,,,,,,Y
2TRTKFX3XT6VPGVWU52E7D4Q,Black Silver Alarm Clock,,Clocks,FR5503,Regular,55.00,,,,,,2,,,,Y
ZIZPVBOSVNKNG4UYO7XYVFJV,Black Silver Box,,Boxes,,4x9,78.00,,,,,,2,,,,Y
4WL4B27ITSVY3PFDRWHUML25,Black Silver Box,,Boxes,,8x11,158.00,,,,,,3,,,,Y
TAIP5IEGVUDGTHQ4CICLH4N5,Black Silver Frames,,Frames,FR0649,4x6,55.00,,,,,,-1,,,,Y
DIDPFYG4RAQSKJO2GXEAJYMU,Black Silver Frames,,Frames,FR0648,5x7,68.00,,,,,,0,,,,Y
ZHSZICZM3XYPEWDRQPMWLZL6,Black Silver Frames,,Frames,FR0647,8x10,95.00,,,,,,0,,,,Y
LWCYDU2PNMEQZWQDBFUXGXUC,Black Silver Notebooks,,Notebooks,NB1100,A4,45.00,,,,,,3,,,,Y
IVO7ATE4ZTBVVJGZ45HWLDLR,Black Silver Notebooks,,Notebooks,NB1050,A5,35.00,,,,,,2,,,,Y
W2HS4K44URAJDFGY77QJXM73,Black Silver Notebooks,,Notebooks,NB1250,A6,26.00,,,,,,3,,,,Y
HGFTPJGBHYIWEIWINLVOOALF,Bloom Book,,Miscellaneous,,Regular,125.00,,,,,,,,,,Y
F4E5FJ53CGOSOCKWFPVDOGQ2,Bloom Footed Vase,Glass Vase Clear 6.5 H x 7.5 W,"Vases, Footed",,Regular,26.00,,,,,,-3,,,,Y
NVM3IJQ7MZYZSWTIWREYUNLS,Blossom Bud Vase,Metal Footed Vase Silver 5.5 H x 0.75 W,"Vases, Footed",,Regular,12.00,,,7.99,Jamali Garden,,44,,,,Y
FAO52NZFIXBOOD6AZ5IFGDL7,Blossom Footed Vase,Metal Footed Vase Silver 10 H x 8 W,"Vases, Footed",,Regular,34.00,,,,,,,,,,Y
XHXZB3NBXAXUMTAY2Z62G3E2,Blue Blossom Cup,"Four Styles Sold Individually 
Ceramic Cups Blue/White 4 H x 2.75 W",Glassware,,Regular,12.00,,,,,,154,,,,Y
4WNOZL64T3AASUSJHW32UFEI,Blue Blossom Set,,Glassware,,Regular,40.00,,,,,,1,,,,Y
PLPUMDV2ZQWHPNSP6RQJYDAD,Blue Botanical Cashpot,SOLD OUT,Cashpots,,Regular,37.00,,,,,,0,,,,Y
IJCMYDSW5QJY537NT6Q7DAZX,Blue Botanical Lided Pot,Ceramic Cashpot Blue/White 4 H x 4 W x 7 L,Cashpots,,Regular,19.00,,,,,,40,,,,Y
VCPACUZ3FH2BXRRLF26XJCQM,Blue Flower Bowl,Ceramic Footed Bowl Blue/White 2.5 H x 4.5 W,"Bowls, Footed",,Regular,10.00,,,,,,403,,,,Y
PHNW2KHNHV6DOILDYFQHEXA7,Blue Flower Footed Bowl,Ceramic Footed Bowl Blue/White 9.5 H x 12 W,"Bowls, Footed",,Regular,65.00,,,,,,0,,,,Y
ZSFUTOCDOLRT2BART2JLLCGO,Blue Gold Box,"Gold Blue Box 3""R BX1100",Boxes,,"3""R",33.00,,,,,,0,,,,Y
JY5D3VIZLCBKBTIBUJHCX5T2,Blue Gold Notebooks,Gold Blue Notebook A4 8.5x11 NB1154,Notebooks,NB1154,A4,45.00,,,,,,3,,,,Y
SENXHI556TFP7ZTIKJC2QH2I,Blue Gold Notebooks,,Notebooks,NB1003,A5,35.00,,,,,,3,,,,Y
EMHIW5LVSM6LR55JZBDZILUQ,Blue Gold Notebooks,,Notebooks,NB1204,A6,26.00,,,,,,3,,,,Y
6ZLGWJJRKMLTMW2X4N4VFJ25,Blue Leaves Cashpot,Ceramic Cashpot Blue/White 8 H x 8 W,Cashpots,,Regular,19.00,,,,,,18,,,,Y
7SE2RRJ57X6DMVQ3ZOXMD35V,Blue Silver Frames,,Frames,,4x6,45.00,,,,,,0,,,,Y
DOP7DADP4HFPBZTYXSJAF3AN,Blue Silver Frames,,Frames,,5x7,68.00,,,,,,0,,,,Y
YBHQI4SIBNVWVFDXDADVTMLI,Blue Silver Frames,,Frames,,8x10,95.00,,,,,,4,,,,Y
WXND6JLEL6QXPS76AEXBIZ5J,Blue Silver Notebooks,,Notebooks,,A4,45.00,,,,,,3,,,,Y
XYOOVCSBVUNHQEEJDOGN4GEU,Blue Silver Notebooks,,Notebooks,,A5,35.00,,,,,,3,,,,Y
5JL5WECG3KYYVDZO4NZAHRAC,Blue Silver Notebooks,,Notebooks,,A6,26.00,,,,,,3,,,,Y
DKVGANJG3MWARVSB2ZMKRH56,Blue Square Vase,"Decorative Blue Vase 10""H x 8""W",Vases,,Regular,65.00,,,,,,5,,,,Y
A4ADBY3BJO4DGJYYGIKQCSTQ,Blue Vine Cashpot,Ceramic Cashpot Blue/White 9 H x 10 W,Cashpots,,Regular,39.00,,,,,,0,,,,Y
DE5FVO6POZOFEXTVFXUQWOHO,Blue Wave Planter,"Large Decorative Blue Vase 8""H x 8""W
Extra Large Decorative Blue Vase 10""H x 9""W",Cashpots,,Extra Large,75.00,,,,,,5,,,,Y
C6ALQ7NWIDYXHVCV6AVWHWWE,Blue Wave Planter,,Cashpots,,Large,65.00,,,,,,1,,,,Y
7KO5TCH3FF3BCY6VUYPMCDUO,Blue Wave Planter,,Cashpots,,Round,85.00,,,,,,1,,,,Y
THWDGIVORTQMBEM2VWT3UIW4,Blusher Footed Vase,Large Glass Footed Vase Clear 10 H x 6 W,"Vases, Footed",,Regular,variable,,,15.00,Jamali Garden,,,,,,Y
WAR5WIJW2EAWQVBSKI5W3JE3,Blusher Footed Vase Small,Glass Footed Vase Clear 6 H 3.5 W,"Vases, Footed",,Regular,variable,,,7.00,Jamali Garden,,,,,,Y
CWIMBI5HNNMTTWJ2UIXSOBY5,Blushing Bride,,Floral,,Pink,4.00,,,,,,9973,,,,Y
V4ONHSNQD4POWYIQ5CO3D5A5,Blushing Bride,,Floral,,White,4.00,,,,,,9998,,,,Y
J5PU5WVR36JBVDVJDVC6JL72,Bone Candle Holder,Ceramic Candle Holder White 4 H x 5 W,Candle Holders,,Regular,18.00,,,,,,2,,,,Y
2UH6SJKKDSKTNFEZD2GT76VS,Bone Vase,Ceramic Vase White 13 H x 11 W,Vases,,Regular,variable,,,11.00,Jamali Garden,,,,,,Y
OVYUTFB7LTRHNBJZHNAJP55U,Bottle Vase,Glass Vase Clear 5 H x 1 W,Vases,,Regular,10.00,,,3.00,Jamali Garden,,186,,,,Y
QGLVXYEPPHM4BYEDOA33XPNN,Boutonniere,,Floral,,Regular,25.00,,,,,,,,,,Y
GCJAHUD3MVLVBT4UCOETKWMO,Box Pleat Vase,Ceramic Vase White,Vases,,Regular,19.00,,,,,,6,,,,Y
L43X4RQNBDBRCRSGER3MTTWB,Box Votive,Wood/Metal Votive Brown/Silver,Votives,,Regular,14.00,,,,,,434,,,,Y
CQ3VPHS2AS5J7NY2JR5FOKDM,Boxwood Topiary,,Plant,,Regular,180.00,,,,,,9999,,,,Y
S7QUNYDOZJEACFHMADLDYCCE,Braided Basket,,Baskets,,Extra Small,45.00,,,78.65,Werner Voß,,-2,,,,Y
DCYGDF3KKGIOKY7D3GHIW6N5,Braided Basket,,Baskets,,Small,65.00,,,78.65,Werner Voß,,-2,,,,Y
SYC4VDNMXS2KZ6HX677H4PSU,Braided Basket,,Baskets,,Medium,95.00,,,78.65,Werner Voß,,0,,,,Y
RI52EYKJQYTXOOIZOQUX2I4P,Braided Basket,,Baskets,,Large,150.00,,,78.65,Werner Voß,,5,,,,Y
BYGEYGFCB3J4D4WEODRWL4S7,Branches,,Floral,,Quince,20.00,,,,,,9781,,,,Y
FHWG6VLTHBGJUCGRIFPQTDB3,Branches,,Floral,,Cherry Blossom,9.00,,,,,,9982,,,,Y
UGFNNVHHEQ4QSIIEAOOYAEJL,Branches,,Floral,,Camila,35.00,,,,,,9998,,,,Y
KFQEPVWOUKZ62RBRBK3ABEB6,Branches,,Floral,,Magnolia,30.00,,,,,,9985,,,,Y
4SEJXEKHQYTPO3U3C6MSHLCF,Branches,,Floral,,Dogwood,20.00,,,,,,9958,,,,Y
ZBMSUQL74CTUE3ENTQBK4NH5,Branches,,Floral,,Mock Orange,25.00,,,,,,10000,,,,Y
DR7QZEEPRNWBKOAHS4ECZRWH,Branches,,Floral,,Olive,20.00,,,,,,9996,,,,Y
G6ZWPHKTRHCMRVFOGUOW6SEV,Branches,,Floral,,Eucalyptus,20.00,,,,,,10000,,,,Y
DJHQ6HJDSF3EAXCMROGP2UDH,Branches,,Floral,,Berry,15.00,,,,,,9986,,,,Y
XAT7235O2W7LPECWI55HTR5A,Brek Box,,Boxes,,Small,190.00,,,400.00,Made Goods,,2,,,,Y
5VCD7F6CCYD6YUHMOIW7JFCU,Brek Box,,Boxes,,Large,290.00,,,400.00,Made Goods,,2,,,,Y
37DAVY3I44QB4RHSEV3QHUZT,Brek Box,,Boxes,,Set,400.00,,,,,,,,,,Y
Z6H6YQUIPOE7IN6Z4IHOXCN7,Bristro Cahir,,,,Regular,175.00,,,,,,,,,,Y
DXCY6PVPAUE4MLKXSTLVHP3P,Bronze Cashpot,,,,Regular,35.00,,,,,,,,,,Y
4O2OZGI73BODGPJMCMUR3NTD,Bronze Lotus Votive,Glass Votive Bronze 4 H x 2 W,Votives,,Regular,30.00,,,,,,21,,,,Y
ZHXVTOFHN4IP33UIG5VNBN3S,Bronze Palm Pot,,Cashpots,,Regular,20.00,,,,,,0,,,,Y
XXAXLQ5SH7XZXKD5FG6YRDGX,Bronze Pyramid Lantern,Metal Lantern Bronze 15 H x 5.5 W,Lanterns,,Regular,45.00,,,,,,,,,,Y
KRFR7FYNH36ITJUCJHA3RYOR,Bronze Urn,"Small Metal Urn Bronze 30.25 x 11 W
Small Metal Urn Bronze 26.75 H x 11 W",Urns,,Large,143.00,,,,,,,,,,Y
GKDW5I4OTKG5CXURQWEEJWAT,Bronze Urn,,Urns,,Small,127.00,,,,,,,,,,Y
FAXCA6UFMXK32WVP27HSMUOO,Bronze Vase,"Large Metal Vase Bronze 7 H x 7 W
Small Metal Vase Bronze 5 H x 5 W",Vases,,Large,35.00,,,,,,190,,,,Y
6JVRZLJW2DJN52Z4CIBDHT2T,Bronze Vase,,Vases,13,Small,15.00,,,,,,,,,,Y
WDWQEQXZFELKSIMYRPTEI3BA,Bronzino Glass Bowl,Glass Footed Bowl Clear 5.5 H x  8 W,"Bowls, Footed",,Regular,36.00,,,0.00,,,,,,,Y
RTPMB2D7Y2DTZDO32UWY3FTI,Brunea Berries,,Floral,,Green,3.00,,,,,,9983,,,,Y
QQEX3Z2W4MR422ATBTHRJCEO,Brunea Berries,,Floral,,Brown,3.00,,,,,,9981,,,,Y
QOLH63GKKTCPFNKLQRC2T6XC,Brushstroke Dinner Plate,Ceramic Dinnerware Red/White 10.5 W x 10.5 L,Dinnerware,,Regular,11.00,,,,,,439,,,,Y
7KMQ2IPYUDY6CEEKTCNZCP7K,Buck Antler Candlestick Holder,Metal Candle Holder Brown 4.5 H x 1 W x 10 L,Candle Holders,,Regular,40.00,,,,,,34,,,,Y
